id,label,label_id,text,raw_text,n_words,n_chars
20,No,0,"In the event that he does phone, we would $NUM like to make sure that Mr. Lay gets this information prior returning the call.","In the event that he does phone, we would 20 like to make sure that Mr. Lay gets this information prior returning the call.",24,125
21,No,0,Join now:,Join now:,2,9
22,No,0,"Jude, search now and claim today's entry!","Jude, search now and claim today's entry!",7,41
23,No,0,Keep moving it forward.,Keep moving it forward.,4,23
24,No,0,Open Glyder to get your feedback template - it's FREE for one week only!,Open Glyder to get your feedback template - it's FREE for one week only!,14,72
25,No,0,"Or mail Work Now America at... $NUM Somerville Avenue Suite $NUM, Somerville, MA $NUM.","Or mail Work Now America at... 519 Somerville Avenue Suite 323, Somerville, MA 02143.",14,86
26,No,0,"Over and over again, you tell us how much Plans help you make God’s Word a daily part of your life.","Over and over again, you tell us how much Plans help you make God’s Word a daily part of your life.",21,99
27,No,0,Please add $EMAIL to your address book to ensure delivery to your inbox.,Please add events@communications.onekingslane.com to your address book to ensure delivery to your inbox.,13,72
28,No,0,Please add mailto:$EMAIL $EMAIL to your address book.,Please add mailto:jobs@snagajob-email.com jobs@snagajob-email.com to your address book.,8,53
29,No,0,Please add to white list safe sender list.,Please add to white list safe sender list.,8,42
30,No,0,Please add us to your Contacts,Please add us to your Contacts,6,30
31,No,0,Please $EMAIL to your address book to ensure delivery to your inbox.,Please addevents@communications.onekingslane.com to your address book to ensure delivery to your inbox.,12,68
32,No,0,Please go to the link below to register by verifying your email.,Please go to the link below to register by verifying your email.,12,64
33,No,0,Please sign in into the addappt app with your this particular email and the invitation code provided:,Please sign in into the addappt app with your this particular email and the invitation code provided:,17,101
34,No,0,Please use the link below to activate your account.,Please use the link below to activate your account.,9,51
35,No,0,Run heat-generating appliances like ovens and dryers early in the morning or late at night.,Run heat-generating appliances like ovens and dryers early in the morning or late at night.,15,91
36,No,0,Save an Extra $$NUM on $NUM Night Stays,Save an Extra $30 on 3 Night Stays,8,39
37,No,0,Search Jobs Now $LINK,Search Jobs Now $LINK,4,21
38,No,0,Search and apply to jobs near you today.,Search and apply to jobs near you today.,8,40
39,No,0,Send us an email at $EMAIL.,Send us an email at support@evite.citysearch.com.,6,27
40,No,0,Start Clicking Here Now If You Want It $LINK,Start Clicking Here Now If You Want It $LINK,9,44
41,No,0,Start saving your money now and start clipping coupons!,Start saving your money now and start clipping coupons!,9,55
42,No,0,Stay $NUM+ Nights & Save $$NUM,Stay 3+ Nights & Save $30,6,30
43,No,0,"Stay in the loop, here is a snapshot of what's going on in your Pink Pad groups this week.","Stay in the loop, here is a snapshot of what's going on in your Pink Pad groups this week.",19,90
44,No,0,Take a few minutes out of your weekend to switch accounts.,Take a few minutes out of your weekend to switch accounts.,11,58
45,No,0,That is why I am calling on all you prayer warriors I need you to be in prayer with me this week.,That is why I am calling on all you prayer warriors I need you to be in prayer with me this week.,22,97
46,No,0,"To ensure delivery to your inbox, please add $EMAIL","To ensure delivery to your inbox, please add Help@e.Nelnet.net",9,51
47,No,0,"To ensure delivery to your inbox, please add $EMAIL to your address book and safe-sender list.","To ensure delivery to your inbox, please add notifications@socialreader-email.com to your address book and safe-sender list.",16,94
48,No,0,"To ensure delivery, please add $EMAIL to your address book.","To ensure delivery, please add bookit@bookitmail.com to your address book.",10,59
49,No,0,"To ensure future delivery of email, please add $EMAIL to your address book, contacts or safe sender list.","To ensure future delivery of email, please add email@mail.adobesystems.com to your address book, contacts or safe sender list.",18,105
50,No,0,"To ensure future delivery of emails, please add mailto: $EMAIL","To ensure future delivery of emails, please add mailto: specials@papajohns-specials.com",10,62
51,No,0,"To ensure our emails are delivered to your inbox, please add us to your Contacts list.","To ensure our emails are delivered to your inbox, please add us to your Contacts list.",16,86
52,No,0,"To ensure that you continue receiving our emails, please add us to your address book or safe list.","To ensure that you continue receiving our emails, please add us to your address book or safe list.",18,98
53,No,0,"To ensure that you continue to receive our emails, please add $EMAIL to your address book.","To ensure that you continue to receive our emails, please add GSNnews@email.gsn.com to your address book.",16,90
54,No,0,"To ensure that you keep getting all your email, please add $EMAIL","To ensure that you keep getting all your email, please add gamefly@emails.gamefly.com",12,65
55,No,0,"To ensure that you will receive emails from us, please add $EMAIL to your address book.","To ensure that you will receive emails from us, please add noreply@myscore.com to your address book.",16,87
56,No,0,"To ensure your emails come to your inbox, please add mailto:$EMAIL","To ensure your emails come to your inbox, please add mailto:events@communications.onekingslane.com",11,66
57,No,0,"To help you get to know us better we'd like to tell you more about membership, our partnership with parents like you, and the value we place on making a difference in the world.","To help you get to know us better we'd like to tell you more about membership, our partnership with parents like you, and the value we place on making a difference in the world.",34,177
58,No,0,"To make sure you receive the most up to date deals, please add $EMAIL to your address book.","To make sure you receive the most up to date deals, please add deals@motovy.com to your address book.",18,91
59,No,0,Try $NUM Weeks Free:,Try 2 Weeks Free:,4,20
60,No,0,"Your name, company name and address, state of incorporation, phone and fax number, as well as an e-mail address, if available, should be included (please print or type).","Your name, company name and address, state of incorporation, phone and fax number, as well as an e-mail address, if available, should be included (please print or type).",28,169
61,No,0,"As you recall, we had a very lengthy discussion regarding the magnitude of the work associated with the hearings and associated briefs.","As you recall, we had a very lengthy discussion regarding the magnitude of the work associated with the hearings and associated briefs.",22,135
62,No,0,Does that mean that you're finally freed from that hairball?,Does that mean that you're finally freed from that hairball?,10,60
63,No,0,How many hours a night do you sleep?,How many hours a night do you sleep?,8,36
64,No,0,I will send an e:mail later in the day to see when we can get together.,I will send an e:mail later in the day to see when we can get together.,16,71
65,No,0,"If you haven't already, please don't forget to rate us!","If you haven't already, please don't forget to rate us!",10,55
66,No,0,"If you need to change or cancel your appointment, please do so at $LINK","If you need to change or cancel your appointment, please do so at $LINK",14,71
67,No,0,"If you read Lessig's piece & agree that researchers should have to disclose conflicts of interest, pls sign petition $LINK","If you read Lessig's piece &amp; agree that researchers should have to disclose conflicts of interest, pls sign petition $LINK",20,122
68,No,0,"If you swipe down, a beautifully wooden shelf will appear & a blue tag saying 'TIDY ME' which you should touch.","If you swipe down, a beautifully wooden shelf will appear & a blue tag saying 'TIDY ME' which you should touch.",21,111
69,No,0,"If you wish to not receive further communication via email from our company or would like to find out more about this sender, please update your profile preferences $LINK","If you wish to not receive further communication via email from our company or would like to find out more about this sender, please update your profile preferences $LINK",29,170
70,No,0,"If you wish to stop future mailings, please follow here $LINK","If you wish to stop future mailings, please follow here $LINK",11,61
71,No,0,"If you would like to cancel or change your Membership options, just visit My Account on Rhapsody.com.","If you would like to cancel or change your Membership options, just visit My Account on Rhapsody.com.",17,101
72,No,0,"If you'd like to disable these notifications, please visit your profile at: $LINK","If you'd like to disable these notifications, please visit your profile at: $LINK",13,81
73,No,0,"If you'd like to no longer receive these emails, please follow the instructions below.","If you'd like to no longer receive these emails, please follow the instructions below.",14,86
74,No,0,"If you'd like to receive a coupon for $$NUM off your next purchase of $NUM lbs or more, please complete the form.","If you'd like to receive a coupon for $3 off your next purchase of 6 lbs or more, please complete the form.",22,113
75,No,0,"If you'd like to turn this off, please visit your AppShopper profile to make changes to your email","If you'd like to turn this off, please visit your AppShopper profile to make changes to your email",18,98
76,No,0,"If you'd like to view or change your account information, please visit $LINK","If you'd like to view or change your account information, please visit $LINK",13,76
77,No,0,"If you're interested but aren't one of the first $NUM, we will have plenty of other opportunities to invite you to join us throughout the year.","If you're interested but aren't one of the first 150, we will have plenty of other opportunities to invite you to join us throughout the year.",26,143
78,No,0,"Now let me tell you why this medallion and Archangel Michael, the most powerful of angels, can deliver the miracles, protection, guidance and love you need to change your life so you can live your dreams.","Now let me tell you why this medallion and Archangel Michael, the most powerful of angels, can deliver the miracles, protection, guidance and love you need to change your life so you can live your dreams.",36,204
79,No,0,Please answer me $NUM Comments $LINK,Please answer me 0 Comments $LINK,6,36
80,No,0,"Please keep in mind that if you have more than one video, you'll need to download each one separately.","Please keep in mind that if you have more than one video, you'll need to download each one separately.",19,102
81,No,0,Please try to delete the application and install it again.,Please try to delete the application and install it again.,10,58
82,No,0,Please try to sign up again at $LINK,Please try to sign up again at $LINK,8,36
83,No,0,"Pronounced Jane-nee, but you can call me Chickengirl.","Pronounced Jane-nee, but you can call me Chickengirl.",8,53
84,No,0,"She put together a little something - if you can use it fine, if not, that's fine too.","She put together a little something - if you can use it fine, if not, that's fine too.",18,86
85,No,0,Talk with you tonight.,Talk with you tonight.,4,22
86,No,0,Tap Pet Hotel - Can you grow your small kennel into a world-class pet hotel getaway?,Tap Pet Hotel - Can you grow your small kennel into a world-class pet hotel getaway?,16,84
87,No,0,The issue is a great example of the intersection of our business interests with public policy debates and should promote a lively discussion when we get together.,The issue is a great example of the intersection of our business interests with public policy debates and should promote a lively discussion when we get together.,27,162
88,No,0,The only bad thing is they have to let us know tomorrow if they are interested.,The only bad thing is they have to let us know tomorrow if they are interested.,16,79
89,No,0,The reception for PaperKarma has been tremendous and we're trying to catch up with the traffic - we apologize for any delays!,The reception for PaperKarma has been tremendous and we're trying to catch up with the traffic - we apologize for any delays!,22,125
90,No,0,They have a big shop and you should know some of the people there.,They have a big shop and you should know some of the people there.,14,66
91,No,0,We either need to have someone riding herd on Tozzini on this (I thought it was Jose) or I need to go to SP and make this happen.,We either need to have someone riding herd on Tozzini on this (I thought it was Jose) or I need to go to SP and make this happen.,28,129
92,No,0,"We had some helpful discussion about assignment, but I'm not sure how much progress was made.","We had some helpful discussion about assignment, but I'm not sure how much progress was made.",16,93
93,No,0,"We have our staff meetings the 1st and 3rd Wednesday at $NUM. I missed the last one, so I should make it to this one.","We have our staff meetings the 1st and 3rd Wednesday at 130. I missed the last one, so I should make it to this one.",25,117
94,No,0,"We hope you enjoy Omni Sync Server, but please keep in mind that this is still in beta and things may break, the server may go down, or your data may disappear.","We hope you enjoy Omni Sync Server, but please keep in mind that this is still in beta and things may break, the server may go down, or your data may disappear.",32,160
95,No,0,We want to welcome you to the Horizon Card Services family of products and feel confident that you will soon realize the full benefits of this wise credit decision as you join the thousands of other highly satisfied Horizon Gold Card privileged Members.,We want to welcome you to the Horizon Card Services family of products and feel confident that you will soon realize the full benefits of this wise credit decision as you join the thousands of other highly satisfied Horizon Gold Card privileged Members.,43,253
96,No,0,"We will be in Bay City on Saturday, but I don't know if it will be overnight.","We will be in Bay City on Saturday, but I don't know if it will be overnight.",17,77
97,No,0,"We will have $NUM for dinner, not counting the $NUM year old who will have eaten (although he will eat a piece of bread, if offered).","We will have 9 for dinner, not counting the 6 year old who will have eaten (although he will eat a piece of bread, if offered).",26,133
98,No,0,"We're going to have a Legal happy hour tomorrow at the Blue Agave, and it would be no party without you there.","We're going to have a Legal happy hour tomorrow at the Blue Agave, and it would be no party without you there.",22,110
99,No,0,Where do you stand on the individual rights of a smoker?,Where do you stand on the individual rights of a smoker?,11,56
100,No,0,"You should also install the Kicksend iPhone app, which will let you send all the photos and videos you take instantly from your iPhone to any email.","You should also install the Kicksend iPhone app, which will let you send all the photos and videos you take instantly from your iPhone to any email.",27,148
101,No,0,lose everything and go to prison for $NUM years or return to Belfast to spy on her own family.,lose everything and go to prison for 25 years or return to Belfast to spy on her own family.,19,94
102,No,0,"—NickyEven if you already enjoy reading your Bible, did you know that some of our most popular Bibles...can also read to you? Listening to the Bible lets you experience God’s Word while you’re doing other things—driving, exercising, even reading along!","—NickyEven if you already enjoy reading your Bible, did you know that some of our most popular Bibles…can also read to you? Listening to the Bible lets you experience God’s Word while you’re doing other things—driving, exercising, even reading along!",40,252
103,No,0,"- Convert To: Instantly convert emails into Appointments, Meetings, Memos or Tasks.","- Convert To: Instantly convert emails into Appointments, Meetings, Memos or Tasks.",12,83
104,No,0,"Also, Brent would be in the best position to ensure that the logistics team meets requirements for timeliness and accuracy of volumetric information so that we can achieve our target headcount reduction in gas operations of $NUM by year end $NUM.","Also, Brent would be in the best position to ensure that the logistics team meets requirements for timeliness and accuracy of volumetric information so that we can achieve our target headcount reduction in gas operations of 52 by year end 2000.",41,246
105,No,0,"Also, for persons over $NUM who are signing waivers, we must provide them with the census data about persons under $NUM/over $NUM who were offered a package, as well as their title and age.","Also, for persons over 40 who are signing waivers, we must provide them with the census data about persons under 40/over 40 who were offered a package, as well as their title and age.",34,189
106,No,0,Because of that I'd like to ensure you that we will make every effort to guide you and answer all your questions about Mobile Publishing.,Because of that I'd like to ensure you that we will make every effort to guide you and answer all your questions about Mobile Publishing.,25,137
107,No,0,"Before you can use truffles, you must gently clean it from the ground with a soft brush, in order to eliminate all the ground particles.","Before you can use truffles, you must gently clean it from the ground with a soft brush, in order to eliminate all the ground particles.",25,136
108,No,0,"But what does brand building consist of, and how do you go about doing it effectively and efficiently?","But what does brand building consist of, and how do you go about doing it effectively and efficiently?",18,102
109,No,0,Conference calling will be available.,Conference calling will be available.,5,37
110,No,0,"Finally though, we can burst and shout it from the rooftop:","Finally though, we can burst and shout it from the rooftop:",11,59
111,No,0,Happy Birthday!! What did you get?,Happy Birthday!! What did you get?,6,34
112,No,0,"Hello My Dear, my name is Cynthia,I read your information on face book,and find it truly interesting .That is why I am contacting you so that we can get to know each other better for personal relationship , beside I have a special issue to discuss with you on a very serious note ; i hope to hear from you soon .","Hello My Dear, my name is Cynthia,I read your information on face book,and find it truly interesting .That is why I am contacting you so that we can get to know each other better for personal relationship , beside I have a special issue to discuss with you on a very serious note ; i hope to hear from you soon .",62,312
113,No,0,"Hey, you should see us up here.","Hey, you should see us up here.",7,31
114,No,0,"Hopefully we can find a simpler approach, but I don't see any inherent problem with something like that if it seems to make the most financial sense.","Hopefully we can find a simpler approach, but I don't see any inherent problem with something like that if it seems to make the most financial sense.",27,149
115,No,0,"I am currently a junior-year history student at Occidental College in Los Angeles, but I will be in the Bay Area all summer.","I am currently a junior-year history student at Occidental College in Los Angeles, but I will be in the Bay Area all summer.",23,124
116,No,0,I have already given him a heads up on the value at stake if we can come in at the low end of the scale and early.,I have already given him a heads up on the value at stake if we can come in at the low end of the scale and early.,27,114
117,No,0,I have asked Dan Lyons to give you a call on this.,I have asked Dan Lyons to give you a call on this.,12,50
118,No,0,"I have asked my assistant Patti to help me in setting up meetings for next week and I had asked her to arrange a lunch with you and Brent, plus some time for just the two of us to get together.","I have asked my assistant Patti to help me in setting up meetings for next week and I had asked her to arrange a lunch with you and Brent, plus some time for just the two of us to get together.",41,193
119,No,0,"I was going to forward the same thing to you yesterday, but didn't want you to think I was an asshole!!","I was going to forward the same thing to you yesterday, but didn't want you to think I was an asshole!!",21,103
120,No,0,I would like to see it but I bet it takes a while to get the support.,I would like to see it but I bet it takes a while to get the support.,17,69
121,No,0,I would like to welcome @HillaryClinton the future ............you know what to Twitter!,I would like to welcome @HillaryClinton the future ............you know what to Twitter!,13,88
122,No,0,I would love to be there but unfortunately I can't make it.,I would love to be there but unfortunately I can't make it.,12,59
123,No,0,I'll get with you on Monday.,I'll get with you on Monday.,6,28
124,No,0,I'll give you the details as I confirm my situation with the Portland trip.,I'll give you the details as I confirm my situation with the Portland trip.,14,75
125,No,0,I'm going to try to make the Thursday $NUM:00PM appointment.,I'm going to try to make the Thursday 4:00PM appointment.,10,60
126,No,0,"If I can get Steve's assignment finished quickly, I will turn my attention back to this.","If I can get Steve's assignment finished quickly, I will turn my attention back to this.",16,88
127,No,0,"If you continue to use our services after July $NUM, $NUM, you agree to the updated terms or, if you don't agree, you can cancel your service at any time.","If you continue to use our services after July 31, 2014, you agree to the updated terms or, if you don't agree, you can cancel your service at any time.",30,154
128,No,0,If you don't know them they were probably just impressed with your reviews and didn't want to miss any of your app activity!,If you don't know them they were probably just impressed with your reviews and didn't want to miss any of your app activity!,23,124
129,No,0,"If you don't see the Highlights view yet, you can expect to see it very soon as we roll out the feature to everyone.","If you don't see the Highlights view yet, you can expect to see it very soon as we roll out the feature to everyone.",24,116
130,No,0,"If you don't think you'll have your book finished in time we don't want you to miss out on this fantastic sale, so until $NUM June $NUM you can purchase one of our Gift Vouchers at $NUM% off*.","If you don't think you'll have your book finished in time we don't want you to miss out on this fantastic sale, so until 30 June 2012 you can purchase one of our Gift Vouchers at 20% off*.",38,192
131,No,0,"If you don't want the government to get your $ interest free, but are aware that you may owe $ later on (April 15th), then claim a higher number of dependents and married and jointly.","If you don't want the government to get your $ interest free, but are aware that you may owe $ later on (April 15th), then claim a higher number of dependents and married and jointly.",35,183
132,No,0,"If you don’t have enough transaction history built up in your HelloWallet account at this time, don’t worry, there are still plenty of ways we can help this year, and by this time next year, you’ll have enough history to review.","If you don’t have enough transaction history built up in your HelloWallet account at this time, don’t worry, there are still plenty of ways we can help this year, and by this time next year, you’ll have enough history to review.",41,228
133,No,0,If you would like to change your e-mail address then log on to Pogo.com and update your account information.,If you would like to change your e-mail address then log on to Pogo.com and update your account information.,19,108
134,No,0,"Instead, I want to meet with Frank Vickers and Ed Baughman (I have known both for years and we get both gas and power covered) either Friday afternoon or Monday to go over the presentation in person and get their thoughts and input (Rahil included).","Instead, I want to meet with Frank Vickers and Ed Baughman (I have known both for years and we get both gas and power covered) either Friday afternoon or Monday to go over the presentation in person and get their thoughts and input (Rahil included).",45,249
135,No,0,"Later, if you do decide to try again, work closely with your health care provider to lower the risks.","Later, if you do decide to try again, work closely with your health care provider to lower the risks.",19,101
136,No,0,My WORD as a Christian man is to utilize the $NUM million dollars that you will donate to me towards the church and if you allow me I have another church in mind that I will like to donate to.,My WORD as a Christian man is to utilize the 5.8 million dollars that you will donate to me towards the church and if you allow me I have another church in mind that I will like to donate to.,40,192
137,No,0,Normally we would like to come in for an introduction meeting ( $NUM $NUM/$NUM hours) to get the basic concepts covered and then talk about what our e-Risk Practice does.,Normally we would like to come in for an introduction meeting ( 1 1/2 hours) to get the basic concepts covered and then talk about what our e-Risk Practice does.,30,170
138,No,0,Notice that I'm not volunteering to make that phone call.,Notice that I'm not volunteering to make that phone call.,10,57
139,No,0,"On December 7th, we would like to remember and honor the brave men and women who lost their lives in the attack at Pearl = Harbor.","On December 7th, we would like to remember and honor the brave men and women who lost their lives in the attack at Pearl = Harbor.",26,130
140,No,0,"SInce there are at least $NUM sbeck's here, have you thought about adopting use of your long name address rather than the shorter version to help in further differentiating between us?","SInce there are at least 2 sbeck's here, have you thought about adopting use of your long name address rather than the shorter version to help in further differentiating between us?",31,184
141,No,0,So now you don't have to go digging around for a comment when you're on a client call.,So now you don't have to go digging around for a comment when you're on a client call.,18,86
142,No,0,Sorry about the long-winded voice mail.,Sorry about the long-winded voice mail.,6,39
143,No,0,"Specifically, we are looking for names and addresses of the following:","Specifically, we are looking for names and addresses of the following:",11,70
144,No,0,Sure to please even those who shy away from most mod decor.,Sure to please even those who shy away from most mod decor.,12,59
145,No,0,Tana will attend.,Tana will attend.,3,17
146,No,0,"The Latest Gadgets, Buy Now or Wait?","The Latest Gadgets, Buy Now or Wait?",7,36
147,No,0,"The sense of urgency for getting this in ""the mix"" is not as high as it was yesterday, though we'll still need to introduce it at some point very soon.","The sense of urgency for getting this in ""the mix"" is not as high as it was yesterday, though we'll still need to introduce it at some point very soon.",30,151
148,No,0,"The sense of urgency for getting this in the mix is not as high as it was yesterday, though we'll still need to introduce it at some point very soon.","The sense of urgency for getting this in the mix is not as high as it was yesterday, though we'll still need to introduce it at some point very soon.",30,149
149,No,0,These funds can be deposited directly into your account withno financial or employment verification by tomorrow.,These funds can be deposited directly into your account withno financial or employment verification by tomorrow.,16,112
150,No,0,This is reminder that your free $NUM day trial will come to an end in $NUM days.,This is reminder that your free 14 day trial will come to an end in 2 days.,17,80
151,No,0,Timeless pieces you'll enjoy now and for years to come.,Timeless pieces you'll enjoy now and for years to come.,10,55
152,No,0,We can make it easy for you.,We can make it easy for you.,7,28
153,No,0,We can make this work either way.,We can make this work either way.,7,33
154,No,0,We can ship to you or your grad.,We can ship to you or your grad.,8,32
155,No,0,"We should cast a little broader net on this internally--Yoder, Calger, Belden, Foster, Sanders, etc.--but seems that, given the Governor's actions as of late, the likelihood of nonpayment might even be a bit higher than $NUM%.","We should cast a little broader net on this internally--Yoder, Calger, Belden, Foster, Sanders, etc.--but seems that, given the Governor's actions as of late, the likelihood of nonpayment might even be a bit higher than 25%.",36,226
156,No,0,We stopped by to see Kirk and Sue and I had them give Jerry a call on the phone.,We stopped by to see Kirk and Sue and I had them give Jerry a call on the phone.,19,80
157,No,0,We want to reward you for doing what you love.,We want to reward you for doing what you love.,10,46
158,No,0,We want to take this opportunity to highlight some of the key changes and what they mean for you.,We want to take this opportunity to highlight some of the key changes and what they mean for you.,19,97
159,No,0,We will also be discussing suggested promotions during this meeting as well.,We will also be discussing suggested promotions during this meeting as well.,12,76
160,No,0,We will update both schedules in the future for all deals originated whether value was originated or not.,We will update both schedules in the future for all deals originated whether value was originated or not.,18,105
161,No,0,We will update tomorrow!,We will update tomorrow!,4,24
162,No,0,We'll have to wait til Mark Greenberg gets in tomorrow.,We'll have to wait til Mark Greenberg gets in tomorrow.,10,55
163,No,0,We'll see you tomorrow.,We'll see you tomorrow.,4,23
164,No,0,What time do you get home from school.,What time do you get home from school.,8,38
165,No,0,"What, why, who are you #ProudToLove?","What, why, who are you #ProudToLove?",6,36
166,No,0,"When you SOW A $$NUM FAITH SEED, let me tell you what I am going to do... • I will place your name in my Bible for the next year.","When you SOW A $365 FAITH SEED, let me tell you what I am going to do… • I will place your name in my Bible for the next year.",30,129
167,No,0,"With Textfree you get FREE unlimited texts and pics, plus make phone calls.","With Textfree you get FREE unlimited texts and pics, plus make phone calls.",13,75
168,No,0,"With a small group, your talk can be informal and you do not need to prepare slides (unless you would like to do so).","With a small group, your talk can be informal and you do not need to prepare slides (unless you would like to do so).",24,117
169,No,0,"With the energy crisis in California at this time, we will need to be extra careful with nominations at Socal and throughout the west to ensure that we continue to provide the excellent nomination service that we have been providing to our customers.","With the energy crisis in California at this time, we will need to be extra careful with nominations at Socal and throughout the west to ensure that we continue to provide the excellent nomination service that we have been providing to our customers.",43,250
170,No,0,"You deserve to have a happy Sunday afternoon, and we hope this $$NUM Walgreens card can make that happen!","You deserve to have a happy Sunday afternoon, and we hope this $100 Walgreens card can make that happen!",19,105
171,No,0,You don't have to take a day off to attend workshops.,You don't have to take a day off to attend workshops.,11,53
172,No,0,"The CODnapper and his team of associates rescue unsuspecting fans from their “to do” lists and everyday chores and deliver them to an oasis known as Onslaught, the first downloadable content pack available for Call of Duty: Ghosts.","The CODnapper and his team of associates rescue unsuspecting fans from their &ldquo;to do&rdquo; lists and everyday chores and deliver them to an oasis known as Onslaught, the first downloadable content pack available for Call of Duty: Ghosts.",38,231
173,No,0,There's a meeting with a cast of characters to discuss the Westinhouse warranty issues.,There's a meeting with a cast of characters to discuss the Westinhouse warranty issues.,14,87
174,No,0,Let us help you find the right health insurance plan for you and your family.,Let us help you find the right health insurance plan for you and your family.,15,77
175,No,0,"However, if you want to follow Cheryl S click the link below to go to their profile to follow them back.","However, if you want to follow Cheryl S click the link below to go to their profile to follow them back.",21,104
176,No,0,If you would like to be taken off of ALL future mailings from Santander with one-click:,If you would like to be taken off of ALL future mailings from Santander with one-click:,16,87
177,No,0,U can hit me u later on if u wanna.,U can hit me u later on if u wanna.,10,35
178,No,0,YOU HAVE HELPFUL OPTIONS IF YOU'D LIKE TO POSTPONE YOUR STUDENT LOAN PAYMENTS FOR $NUM MONTHS.,YOU HAVE HELPFUL OPTIONS IF YOU'D LIKE TO POSTPONE YOUR STUDENT LOAN PAYMENTS FOR 12 MONTHS.,16,94
179,No,0,The Lord told me that my $NUM CLOSEST FRIENDS and PARTNERS WHO RESPOND FIRST are going to experience this UNIQUE $NUMDAY MIRACLE.,The Lord told me that my 300 CLOSEST FRIENDS and PARTNERS WHO RESPOND FIRST are going to experience this UNIQUE 365-DAY MIRACLE.,22,129
180,No,0,"• Whether you’re on your desktop, your mobile device, or your tablet, Unroll.me is there for you with our new responsive design.","• Whether you’re on your desktop, your mobile device, or your tablet, Unroll.me is there for you with our new responsive design.",22,128
181,No,0,The Sender and Subject tabs let you quickly act on batches of related email.,The Sender and Subject tabs let you quickly act on batches of related email.,14,76
182,No,0,If you would like to download the SpotCha!,If you would like to download the SpotCha!,8,42
183,No,0,"So much happens on Twitter every day, whether it's breaking news, a deal at your favorite shop, a local traffic jam or a funny pick-me-up from a friend.","So much happens on Twitter every day, whether it's breaking news, a deal at your favorite shop, a local traffic jam or a funny pick-me-up from a friend.",28,152
184,No,0,You not emailing me.,You not emailing me.,4,20
185,No,0,How much will your donation cost me?,How much will your donation cost me?,7,36
186,No,0,"So, especially given the post-$NUM/$NUM logistics, it doesn't seem practical for me to come to Dallas for this meeting.","So, especially given the post-9/11 logistics, it doesn't seem practical for me to come to Dallas for this meeting.",19,119
187,No,0,I think that moving forward in my new job will not allow me the time to continue our sessions.,I think that moving forward in my new job will not allow me the time to continue our sessions.,19,94
188,No,0,Why won't they let you go to the Corp. conference?,Why won't they let you go to the Corp. conference?,10,50
189,No,0,"So rather than discuss the transition, Kevin had to react to and absorb this as a possibility.","So rather than discuss the transition, Kevin had to react to and absorb this as a possibility.",17,94
190,No,0,Sean paid me for his and Molly's dinner and Eldon and Nancy will pay me for theirs.,Sean paid me for his and Molly's dinner and Eldon and Nancy will pay me for theirs.,17,83
191,No,0,Let us give you one less thing to worry about.,Let us give you one less thing to worry about.,10,46
192,No,0,You can go through the prompts if you would like to take this bonus.,You can go through the prompts if you would like to take this bonus.,14,68
